No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V,DTI,Accounts,FICO,FICO_Band,Utilization_Band,DTI_Band,DTI_Band_10pct,LoanAmount_Band,Asset_Band,Predicted_Chargeoff_Score
0,24,0,0,0,0,0,0,1,0,0,0,0,0,538,0,1,0,777,0.12482066,34774,0,0,0,0,,669,0.02234428,1,Fair,661-670,Low (10-30%),Target (<36%),1–3%,No debt,501-1000,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,1171,2,0,0,788,0.203015094,46535,0,1,13512.8,0,,,0.016933491,1,,,Low (10-30%),Target (<36%),1–3%,High (10K–15K),1001-1500,0
0,22,0,0,0,0,0,0,1,0,0,0,1,0,863,3,0,1,526,0.24563009,51039,1,1,6361,0,,553,0.010305845,1,Poor,551-560,Low (10-30%),Target (<36%),1–3%,Moderate (5K–10K),501-1000,0
1,24,0,0,0,0,0,0,0,0,0,0,0,1,2682,2,0,0,963,0.427178032,47757,0,0,0,0,,,0.020164583,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,>2500,0
0,20,0,0,0,0,0,0,0,1,0,1,1,1,103,2,2,1,874.4,0.505690765,44685,1,1,6934.2,1,,508,0.019568088,1,Poor,501-510,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),<500,1
0,25,0,0,0,0,0,0,0,0,0,0,1,0,1536,3,0,0,954,0.176188832,22133,0,0,0,0,,645,0.043103059,1,Fair,641-650,Low (10-30%),Target (<36%),3–5%,No debt,1501-2000,0
0,22,0,0,0,0,0,1,0,0,0,0,1,0,2453,1,1,1,1597,0.284397832,52832,0,0,0,0,,611,0.030227892,1,Fair,611-620,Low (10-30%),Target (<36%),3–5%,No debt,2001-2500,0
0,24,0,0,0,0,0,0,1,0,0,0,1,0,533,1,2,0,523,0.373934541,38953,0,1,6799,0,,501,0.013426437,1,Poor,501-510,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),501-1000,0
1,19,0,0,0,0,0,0,1,0,1,0,0,0,787,0,0,0,390.4,0.329202601,28396,0,1,11198.6,0,,,0.013748415,1,,,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),501-1000,0
1,20,0,0,0,0,0,0,1,0,0,0,0,1,619,3,1,0,764.8,0.3136773,35175,0,1,14447.3,0,,,0.021742715,1,,,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),501-1000,0
0,24,0,0,0,0,0,1,0,0,1,0,1,1,576,0,1,0,272,0.1,26712,0,0,0,0,,676,0.010182689,1,Good,671-680,Low (10-30%),Target (<36%),1–3%,No debt,501-1000,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0,1,1172,0.419172659,27768,0,1,5453.7,0,,,0.042206857,1,,,Moderate (30-60%),Target (<36%),3–5%,Moderate (5K–10K),1001-1500,0
1,20,0,0,0,0,0,1,0,0,1,0,1,0,2291,1,2,0,96.8,0.147187782,27078,0,1,5657.4,0,,,0.003574858,1,,,Low (10-30%),Target (<36%),<1%,Moderate (5K–10K),2001-2500,0
0,25,0,0,0,0,0,1,0,0,0,0,1,0,71,1,2,0,808,0.210055758,33313,0,0,0,0,,560,0.024254795,1,Poor,551-560,Low (10-30%),Target (<36%),1–3%,No debt,<500,0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,361,0,2,0,713,0.003454328,34309,0,0,0,0,,586,0.020781719,1,Fair,581-590,Very Low (<10%),Target (<36%),1–3%,No debt,<500,0
